source,target,strength
0,1,4
0,2,4
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,12,1
0,13,5
0,17,4
0,18,4
0,19,4
0,20,3
0,21,2
0,22,5
0,23,3
0,24,5
0,25,5
0,26,-4
0,28,-3
0,29,-3
0,30,-3
0,32,-5
0,35,-5
0,36,-1
0,37,-1
0,38,-2
0,41,-2
0,46,-2
0,47,-2
0,48,-2
0,49,-1
0,50,1
0,52,4
0,57,1
0,58,1
0,59,5
0,60,1
0,61,1
0,62,1
0,63,2
0,64,2
0,65,2
0,66,2
0,67,2
0,68,2
0,69,2
0,70,2
0,71,-3
0,72,4
0,73,1
0,74,0
0,75,0
0,76,1
0,77,1
0,78,1
0,79,2
0,80,0
0,81,0
0,82,0
0,83,1
0,84,0
0,85,0
0,86,0
0,87,1
0,88,3
0,89,2
0,90,2
0,91,2
0,92,2
0,93,1
0,94,0
0,95,-2
0,96,-2
0,97,-2
0,98,3
0,99,1
0,100,0
0,101,0
0,102,0
0,103,-1
0,104,1
0,105,-1
0,106,1
0,107,1
0,108,-2
0,109,0
0,110,4
0,111,-1
1,0,4
1,2,4
1,9,-1
1,10,-2
1,13,2
1,17,2
1,18,2
1,19,2
1,21,1
1,26,-1
1,29,-3
1,35,-3
1,36,-1
1,37,-1
1,38,-2
1,39,-2
1,41,-2
1,49,-2
1,50,2
1,54,1
1,58,0
1,59,4
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,-1
1,71,0
1,72,3
1,73,-1
1,74,0
1,75,-1
1,76,0
1,77,1
1,78,0
1,79,1
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,2
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,2
1,99,0
1,100,0
1,101,0
1,102,0
1,103,0
1,104,0
1,105,0
1,106,1
1,107,0
1,108,-2
1,109,0
1,110,4
1,111,1
2,0,4
2,1,4
2,3,4
2,4,4
2,5,2
2,6,2
2,7,2
2,9,3
2,13,2
2,14,4
2,17,5
2,18,5
2,19,2
2,26,-2
2,35,-3
2,36,-1
2,37,-1
2,38,-2
2,41,-2
2,50,-1
2,53,-3
2,58,0
2,59,5
2,60,5
2,61,5
2,62,1
2,63,0
2,64,1
2,65,1
2,66,1
2,67,1
2,68,0
2,69,0
2,70,-1
2,71,0
2,72,3
2,73,-1
2,74,0
2,75,1
2,76,0
2,77,1
2,78,0
2,79,-1
2,80,-1
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,86,0
2,87,0
2,88,2
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,94,0
2,95,-2
2,96,-2
2,97,-2
2,98,2
2,99,0
2,100,0
2,101,0
2,102,1
2,103,0
2,104,0
2,105,-1
2,106,1
2,107,0
2,108,-2
2,109,0
2,110,4
2,111,-1
3,0,3
3,2,4
3,4,4
3,11,1
3,13,2
3,14,4
3,17,5
3,18,5
3,41,-3
3,44,-1
3,58,0
3,59,5
3,60,5
3,61,5
3,62,3
3,63,2
3,64,2
3,65,2
3,66,2
3,67,0
3,68,0
3,69,0
3,70,0
3,71,0
3,72,1
3,73,0
3,74,0
3,75,0
3,76,0
3,77,0
3,78,0
3,79,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,87,0
3,88,0
3,89,0
3,90,0
3,91,0
3,92,0
3,93,0
3,94,-2
3,95,-2
3,96,-2
3,97,-2
3,98,2
3,99,2
3,100,2
3,101,0
3,102,0
3,103,0
3,104,0
3,105,-1
3,106,0
3,107,0
3,108,-2
3,109,0
3,110,0
3,111,0
4,0,3
4,2,4
4,3,4
4,11,1
4,13,2
4,14,4
4,17,5
4,18,5
4,41,-3
4,44,-1
4,58,0
4,59,5
4,60,5
4,61,5
4,62,3
4,63,2
4,64,4
4,65,2
4,66,2
4,67,0
4,68,0
4,69,0
4,70,0
4,71,0
4,72,1
4,73,0
4,74,0
4,75,0
4,76,0
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,87,0
4,88,0
4,89,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,-2
4,95,-2
4,96,-2
4,97,-2
4,98,2
4,99,2
4,100,2
4,101,0
4,102,0
4,103,0
4,104,0
4,105,-1
4,106,0
4,107,0
4,108,-2
4,109,0
4,110,0
4,111,0
5,0,3
5,2,3
5,6,3
5,7,3
5,58,0
5,59,1
5,60,0
5,61,0
5,62,0
5,63,0
5,64,0
5,65,0
5,66,0
5,67,0
5,68,0
5,69,0
5,70,0
5,71,0
5,72,0
5,73,0
5,74,0
5,75,0
5,76,0
5,77,0
5,78,0
5,79,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,0
5,85,0
5,86,0
5,87,0
5,88,0
5,89,1
5,90,1
5,91,1
5,92,1
5,93,1
5,94,0
5,95,0
5,96,0
5,97,0
5,98,0
5,99,0
5,100,0
5,101,0
5,102,0
5,103,0
5,104,0
5,105,0
5,106,0
5,107,0
5,108,0
5,109,0
5,110,0
5,111,0
6,0,3
6,2,3
6,5,3
6,7,3
6,58,0
6,59,2
6,60,0
6,61,0
6,62,0
6,63,0
6,64,0
6,65,0
6,66,0
6,67,0
6,68,0
6,69,0
6,70,0
6,71,0
6,72,0
6,73,0
6,74,0
6,75,0
6,76,0
6,77,0
6,78,0
6,79,0
6,80,0
6,81,0
6,82,0
6,83,0
6,84,0
6,85,0
6,86,0
6,87,0
6,88,0
6,89,1
6,90,1
6,91,1
6,92,1
6,93,1
6,94,0
6,95,0
6,96,0
6,97,0
6,98,0
6,99,0
6,100,0
6,101,0
6,102,0
6,103,0
6,104,0
6,105,0
6,106,0
6,107,0
6,108,0
6,109,0
6,110,0
6,111,0
7,0,3
7,0,3
7,5,3
7,6,3
7,15,5
7,16,5
7,29,-5
7,35,-3
7,58,0
7,59,4
7,60,0
7,61,0
7,62,0
7,63,0
7,64,0
7,65,0
7,66,0
7,67,0
7,68,0
7,69,0
7,70,0
7,71,0
7,72,4
7,73,0
7,74,0
7,75,0
7,76,0
7,77,0
7,78,0
7,79,0
7,80,0
7,81,0
7,82,0
7,83,0
7,84,-2
7,85,-2
7,86,0
7,87,0
7,88,0
7,89,1
7,90,1
7,91,1
7,92,1
7,93,1
7,94,0
7,95,0
